epoch;loss;acc;val_loss;val_acc
0;24.97421132405599;0.0;23.34189453125;0.0
1;21.514436704847547;0.0;21.964798736572266;0.0
2;21.264397116767036;0.0;21.53274482727051;0.0
3;21.099233169555664;0.0;21.24308349609375;0.0
4;20.9460070376926;0.0;22.086169815063478;0.0
5;20.830677897135416;0.0;21.22099090576172;0.0
6;20.63187976413303;0.0;21.370664520263674;0.0
7;20.34351586235894;0.0;21.234774627685546;0.0
8;19.904971728854708;0.0;21.605537872314454;0.0
9;19.22788558959961;0.0;23.112617950439454;0.0
10;18.102682028876412;0.0;22.497640075683595;0.0
11;16.464386647542316;0.0;22.57466842651367;0.0
12;14.266645211113824;0.0;23.399654693603516;0.0
13;11.541285264756944;0.0;25.72310119628906;0.0
14;8.744851663377549;0.0;27.757033081054686;0.0
15;5.985994809468587;0.0;27.002002868652344;0.0
16;3.7626552602979872;0.0022222222222222222;28.208609466552733;0.0
17;2.107927811940511;0.016666666666666666;32.49255325317383;0.0
18;1.302679926554362;0.10888888888888888;30.914204864501954;0.0
19;0.9294517178005642;0.29777777777777775;31.665673828125;0.0
20;0.7091768391927084;0.4888888888888889;32.2516633605957;0.0
21;0.47052011807759603;0.6811111111111111;33.528648376464844;0.0
22;0.4283024893866645;0.7655555555555555;34.151589965820314;0.0
23;0.3380806514951918;0.8411111111111111;34.53500328063965;0.0
24;0.2998302475611369;0.8677777777777778;35.210511932373045;0.0
00784;0.0
